overall_rating,pros_sentiment,cons_sentiment,pros_sentiment_score,cons_sentiment_score,overall_sentiment
3,Positive,Negative,0.8176,-0.1531,Positive
4,Positive,Negative,0.8126,-0.128,Positive
1,Positive,Negative,0.7184,-0.9576,Negative
4,Positive,Neutral,0.8591,0.0,Positive
5,Positive,Neutral,0.4404,0.0,Positive
3,Positive,Positive,0.8516,0.25,Positive
4,Positive,Negative,0.872,-0.4144,Positive
3,Positive,Positive,0.4019,0.0772,Positive
1,Positive,Negative,0.4404,-0.4538,Negative
2,Positive,Negative,0.9545,-0.891,Positive
3,Positive,Negative,0.7096,-0.3597,Positive
4,Positive,Positive,0.8074,0.5574,Positive
4,Neutral,Negative,0.0,-0.5423,Negative
4,Positive,Positive,0.4019,0.5574,Positive
3,Positive,Negative,0.7783,-0.7292,Positive
5,Positive,Negative,0.9759,-0.5495,Positive
3,Positive,Neutral,0.6249,0.0,Positive
2,Positive,Neutral,0.9287,0.0,Positive
5,Positive,Positive,0.802,0.2023,Positive
3,Positive,Neutral,0.296,0.0,Positive
5,Positive,Positive,0.9565,0.9131,Positive
5,Positive,Negative,0.7096,-0.1761,Positive
5,Positive,Neutral,0.9274,0.0,Positive
5,Positive,Neutral,0.7964,0.0,Positive
3,Positive,Negative,0.7783,-0.3252,Positive
5,Positive,Positive,0.3182,0.9325,Positive
5,Positive,Neutral,0.8271,0.0,Positive
3,Positive,Positive,0.3612,0.3818,Positive
5,Positive,Positive,0.8126,0.4404,Positive
4,Positive,Neutral,0.5563,0.0,Positive
4,Positive,Positive,0.7437,0.2255,Positive
4,Positive,Negative,0.6249,-0.1027,Positive
5,Positive,Negative,0.8658,-0.2732,Positive
3,Positive,Neutral,0.6549,0.0,Positive
3,Positive,Positive,0.8519,0.126,Positive
5,Negative,Negative,-0.2351,-0.3485,Negative
3,Positive,Neutral,0.6249,0.0,Positive
4,Neutral,Positive,0.0,0.4391,Positive
